Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Immigration,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
688a4328fb2dee49928ea069,67e2a624e55987ea03570bc1,APPROVED,Not Applicable,2025-07-30T16:07:47.800000Z,2025-07-30T16:15:39.288000Z,2025-07-30T16:15:39.902000Z,2025-07-30T16:15:39.808065Z,472.0,C15QG034,771,"Yes, I was born in the country I am now living in",24,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
688a435d318bafd88054bd79,631610af8e747093cd90e00d,RETURNED,Not Applicable,2025-07-30T16:08:02.798000Z,,,2025-07-30T17:31:19.930782Z,,,3708,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
688a437275af9e656a31a383,5755c957eb80c4000741a9ce,APPROVED,Not Applicable,2025-07-30T16:08:50.648000Z,2025-07-30T16:18:44.902000Z,2025-07-30T16:18:45.415000Z,2025-07-30T16:18:45.323919Z,595.0,C15QG034,5506,"Yes, I was born in the country I am now living in",42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
688a43813ace4083fa9bc91b,676056c4ad585b4aeebf6154,APPROVED,Not Applicable,2025-07-30T16:08:37.026000Z,2025-07-30T16:16:31.550000Z,2025-07-30T16:16:32.111000Z,2025-07-30T16:16:31.988100Z,475.0,C15QG034,846,"Yes, I was born in the country I am now living in",20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
688a438434b2200e68c3c1c6,6053e01a6a8e8516ba7d47a7,APPROVED,Not Applicable,2025-07-30T16:08:36.006000Z,2025-07-30T16:27:13.772000Z,2025-07-30T16:27:14.509000Z,2025-07-30T16:27:14.265991Z,1118.0,C15QG034,4956,"Yes, I was born in the country I am now living in",58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
688a4385ab0544605caf21b1,62db2644ab0a3a353c0dcb54,RETURNED,Not Applicable,,,,2025-07-30T17:31:19.931756Z,,,5245,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
688a438bd573d0a11765c204,5d68c8aa40524c00189e8ac2,APPROVED,Not Applicable,2025-07-30T16:08:49.760000Z,2025-07-30T16:43:11.839000Z,2025-07-30T16:43:12.744000Z,2025-07-30T16:43:12.544963Z,2063.0,C15QG034,5415,"Yes, I was born in the country I am now living in",34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
688a438d181d7d6d2f6fdf1f,6156fef09d1ab07148870099,APPROVED,Not Applicable,2025-07-30T16:08:49.950000Z,2025-07-30T16:19:13.450000Z,2025-07-30T16:19:13.957000Z,2025-07-30T16:19:13.871716Z,624.0,C15QG034,4701,"Yes, I was born in the country I am now living in",48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
688a4390fe194dacb68ea09c,5e39e1e2c8aeb01fe7aca4b6,APPROVED,Not Applicable,2025-07-30T16:09:06.086000Z,2025-07-30T16:20:17.332000Z,2025-07-30T16:20:17.992000Z,2025-07-30T16:20:17.915420Z,672.0,C15QG034,791,"Yes, I was born in the country I am now living in",30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
688a4391b83108fcdb0d8a80,6621156464473d47a01c23ff,APPROVED,Not Applicable,2025-07-30T16:08:55.033000Z,2025-07-30T16:19:52.678000Z,2025-07-30T16:19:53.197000Z,2025-07-30T16:19:53.104799Z,658.0,C15QG034,120,"Yes, I was born in the country I am now living in",35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
